Spanish,English
el,he
de,of
que,that
a,to
en,in
ser,be
no,No
lo,it
pero,but
mas,further
este,this
ese,that
si,Yeah
nos,us
quedar,meet
muy,very
sin,without
vez,time
saber,know
mi,my
alguno,some
entre,between
nada,nothing
todo,all
tiempo,time
cada,each
mayor,elderly
pero,but
mejor,better
solo,only
as,ace
nunca,never
hombre,man
contra,against
eso,that
siempre,always
ella,she
antes,before
ellos,they
uno,one
mismo,same
bueno,Well
donde,where
hacer,do
esa,that
hoy,today
tal,such
puede,can
tener,have
razón,reason
cosa,stuff
mejor,better
solo,only
as,ace
nunca,never
puedo,I can
personas,people
otros,others
eso,that
hombre,man
puede,can
todos,all
bien,good
nosotros,us
después,after
quien,who
ni,neither
contra,against
eso,that
vida,life
otros,others
siempre,always
cual,which
ella,she
antes,before
ellos,they
uno,one
mismo,same
bueno,Well
tan,so
donde,where
nuestro,our
ya,already
usted,you
hacer,do
muerte,death
nuestros,our
esa,that
hoy,today
estoy,I'm
tal,such
sino,but
puede,can
tener,have
razón,reason
estar,be
hablar,talk
esos,those
hacia,toward
estar,be
desde,from
estas,are
ellas,they
